exam_name,question_number,question_text,A,B,C,D,correct_label,topic,subtopic,explanation
examreview_103462980,11,"In California, an estate at will is known as ______.",A life estate,Chattel interest,Personal property,Real chattel,B,Property Ownership and Land Use Controls and Regulations,Types of Ownership,"In California, an estate at will, such as a lease with no definite end date, is known as chattel interest."
examreview_103462980,12,Which of these advance fee agreements is legal in California?,A broker and a property owner agree to an advance fee for loan modification that will save the money in the long run.,A broker and seller agree to an advance fee for marketing a multi-million dollar property that is not approved by the Department of Real Estate.,A broker and seller agree to an advance fee for marketing a time-share property and the agreement was approved by the Department of Real Estate.,A broker tells a new buyer client the types of wine she prefers just before winking suggestively.,C,Contracts,Advance Fee,"Advance fees need to be approved by the Department of Real Estate, and they'll never be approved for loan modification services, because it is illegal to charge an advance fee for loan modifications."
examreview_103462980,13,"The Johnsons have owned a small restaurant for more than 20 years. It's open for lunch and dinner six days a week, and 80% of its weekday revenue comes from the happy hour drink and appetizer specials. The town in which their restaurant is located recently constructed a new middle school and stripped the liquor license from the Johnsons' restaurant, because it no longer complies with the ordinance to be 500 feet from a school property. The Johnsons have accused the town of _____.",Condemnation,Eminent domain,Escheat,Inverse condemnation,D,Property Ownership and Land Use Controls and Regulations,Government Rights in Land,"Inverse condemnation occurs when a property's value is negatively affected by government regulation, but the owner is not offered just compensation according to the requirements of the Takings Clause."
examreview_103462980,14,"Which type of ownership includes the unity of time, title, interest, possession, and marriage, and dissolves to a tenancy in common after a divorce?",Estate in severalty,Joint tenancy,Tenancy by the entirety,Tenants in common,C,Transfer of Property,Types of Vesting,"This type of ownership is tenancy by the entirety. It's similar to joint tenancy in that it has the right of survivorship and includes unity of time, title, interest, and possession. The difference is that marriage is added to the mix."
examreview_103462980,15,Anthony owns a new commercial strip mall with several units. He's hired Jillian as his agent to find tenants to rent each unit. Is Jillian required to provide Anthony with an agency disclosure form?,It depends on how many units are for lease.,"No, agency disclosure is only required for residential transactions.","No, agency disclosure is only required on sales of commercial properties.","Yes, Jillian is required to provide Anthony with an agency disclosure form.",D,Laws of Agency and Fiduciary Duties,Disclosure of Agency,Disclosure is required. The number of units involved in the transaction is only relevant in residential property transactions.
examreview_103462980,16,Serious violations of the real estate license laws typically result in which disciplinary action or actions?,Additional education,A small fine,License suspension or revocation,Reprimand,C,"Practice of Real Estate and Disclosures, Including Specialty Areas",DRE Jurisdiction and Disciplinary Actions,Serious violations may also include restrictions.
examreview_103462980,17,April owes money to quite a few people after a round of court-ordered judgment liens were placed on her property. Can you determine who would get paid first?,"Alycea filed at the end of June and was awarded $50,000.","Bob filed in May and was awarded $85,000.","Frank filed in February and was awarded $10,000.","Sarah filed in March and was awarded $15,000.",C,Property Ownership and Land Use Controls and Regulations,Encumbrances,"Even though Frank is owed the least amount of money, he would receive priority because he filed first."
examreview_103462980,18,The Town of Petersville has just decided to restrict density in one area of town that previously allowed a higher density. This is known as ______.,Aesthetic zoning,Density zoning,Downzoning,Reduction zoning,C,Property Ownership and Land Use Controls and Regulations,Public Controls,"While it may result in more beautiful neighborhoods and does result in lowering density, downzoning also reduces possible uses and potential value."
examreview_103462980,19,How does California inform consumers that commissions are not set by law?,Commissions are set by law,Through a commission disclosure statement,Through language on the agency disclosure form,Through specific language on listing agreements,D,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,Listing agreements in California have specific language informing the seller that commissions and fees are not fixed by law and are negotiable.
examreview_103462980,20,"Sandra retired from a career in the Navy and is ready to buy her first home, a small bungalow in a quiet neighborhood, for $169,900. Her military service gives her the benefit of Veterans Affairs (VA) loan. What's her required down payment?",$0.00,"$1,699.00","$2,548.50",$500.00,A,Financing,Types of loans,"The VA loan program was part of the G.I. Bill of 1944, and it offers financing with no down payment."
examreview_103462980,21,Which of the following would be considered personal property?,Built-in microwave,Custom curtains,Free-standing TV,In-ground pool,C,Property Ownership and Land Use Controls and Regulations,Classes of Property,"If the item is permanently attached to the real property, it becomes real property. Personal property, also known as chattel, is attached temporarily."
examreview_103462980,22,What is a negative aspect of net listings?,The listing agent is guaranteed at least some compensation.,They don't include compensation for the buyer's agent.,They often involve a conflict of interest.,They're legal in all 50 states.,C,Contracts,Listing Agreements,"Net listings are prohibited in several states, and there's no guarantee of compensation. The conflict could occur if the listing agent didn't present offers that left little for compensation, even though the offers met the seller's needs."
examreview_103462980,23,"According to RESPA, what must the lender give to the borrower at either the time of loan application or within three days following application?",Closing Disclosure,Freddie Mac borrower disclosure,Loan Estimate,TIL statement,C,Transfer of Property,Escrow,"The lender must give the borrower the Loan Estimate at the time of application, or within three days following loan application. The Closing Disclosure must be provided to the borrower three days prior to settlement."
examreview_103462980,24,What's a marketable title?,A title that a relative has gifted,A title that has been granted by public grant,A title that is about to go on the market,A title that is clear and free of encumbrances,D,Transfer of Property,Title Insurance,A marketable title provides assurance that there are no unrecorded liens or claims on the property.
examreview_103462980,25,Which of the following groups represents a niche?,Empty nesters,Home buyers,Homeowners,Urbanites,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Specialty Areas,"A niche is a focused group of people with something in common. It's specific, not general."
examreview_103462980,26,Which agency is charged with enforcing fair housing laws and holding all parties accountable for compliance with these laws and regulations?,Office of Civil Rights,Office of Equal Credit Opportunity,Office of Fair Housing and Equal Opportunity,Office of Housing and Community Development,C,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,Individuals who have experienced housing discrimination can file a complaint with the Office of Fair Housing and Equal Opportunity. The FHEO is charged with enforcing fair housing laws.
examreview_103462980,27,On which type of property would the cost approach typically be used when determining value?,Condominium,Cooperative,New construction,Older but not historical property,C,Property Valuation and Financial Analysis,Methods of Estimating Value,"The cost approach is often used for new construction, unique properties, and special-purpose commercial uses."
examreview_103462980,28,"Your client, a seller in a residential transaction, is completing the seller's information sections of the TDS. He has marked some ""yes"" responses in Section C, and needs to explain the issues, but complains to you that there is not enough space on the form. What do you tell your client?",Attach additional sheets to the form,"Don't bother with that, because it's not required",Provide the client with the TDS - Expanded version of the form,Write smaller and abbreviate,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Transfer Disclosure Statement,"Explanations for material facts should be complete and clear, so the client should use additional sheets and attach them to the TDS."
examreview_103462980,29,Volatile organic compounds can make indoor air quality toxic. Where are VOCs likely to be found?,Air fresheners,Bamboo,Jute,Wool,A,Property Ownership and Land Use Controls and Regulations,Environmental Hazards and Regulations,"Volatile organic compounds, which can make indoor air quality toxic at high levels, are found in some air fresheners, cleansers, paint, and building materials."
examreview_103462980,30,"The property manager, hired by the owner to oversee daily operations of rental property, is responsible ___________________",To both the owner and the tenants,To the local rent control board,To the owner only,To the tenants only,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Property Management,The property manager owes responsibilities to both the property owner and the tenants.
examreview_103462980,31,"Richard is interested in purchasing some rural land and included outbuildings. When reviewing the legal description, he sees the name of a principal meridian. What type of legal description is this?",Lot and block,Metes and bounds,Monument and benchmark,Rectangular government survey,D,Property Ownership and Land Use Controls and Regulations,Descriptions of Property,"Legal descriptions that use the RGSS usually include the state, name of the principal meridian, township, and range designations with compass directions and section numbers."
examreview_103462980,32,"Isabelle just took on a new listing, in which the owner is selling because a new freeway is being built right behind the house. The owner is concerned about the noise and other activity the freeway will bring, but doesn't want prospective buyers to know this. Which action best demonstrates good faith in this scenario?","Isabelle decides not to take the listing, since the property will be impossible to sell.","Isabelle takes the listing and, per her client's instructions, doesn't tell prospective buyers about the planned road construction.","Isabelle takes the listing, tells the seller she won't discuss the new freeway, then discloses this fact to prospective buyers, since it's material to the property.",Isabelle tells the owner that this is a material fact related to the property that must be,D,"Practice of Real Estate and Disclosures, Including Specialty Areas",General Ethics,"disclosed to prospective buyers, or Isabelle will not take the listing. Good faith is about putting your client's interests first, but you also owe good faith to consumers. Material facts about a property must be disclosed. If an owner is adamant about not disclosing something that should be disclosed, don't take the listing."
examreview_103462980,33,Why is asbestos an environmental issue?,It causes brain clouds.,It causes chronic lung disease.,It causes depression.,It takes up space in a landfill.,B,Property Ownership and Land Use Controls and Regulations,Environmental Hazards and Regulations,"Asbestos is a friable substance that, when demolished improperly, produces fibers that cause chronic lung disease and can cause cancer."
examreview_103462980,34,"Lucas, Ivan, Chad, and Trace own a property as joint tenants. After a few years, Ivan sells his interest to Tom (with permission from Lucas, Chad, and Trace). Chad dies intestate but is survived by a wife, Amy. Trace also then passes away but wills his property to Monique. Who owns the property after Trace's death?",Lucas,Lucas and Tom,"Lucas, Monique, and Amy","Lucas, Tom, Amy, and Monique",B,Transfer of Property,Types of Vesting,"Joint tenants are allowed to sell their interests, so Tom became a property owner when Ivan sold his interest. However, joint tenancy is not inheritable but instead includes the right of survivorship. Trace's and Chad's interests passed to Lucas. Tom is a tenant in common because he did not acquire the property at the same time as the original joint tenants. His interests are not affected by Trace and Chad's deaths."
examreview_103462980,35,Which of the following items directly influences real estate demand?,Construction costs,Construction of new homes,Conversions to residential properties,Loan availability,D,Property Valuation and Financial Analysis,Value,"Demand is directly influenced by factors such as employment levels and wages, interest rates, population changes, confidence in the market, and availability of loans."
examreview_103462980,36,Carla has successfully closed on the purchase of a home. The deed shows she's taken sole ownership of the property. Which of these actions is necessary before the escrow agent can have the deed recorded?,Carla must name a beneficiary.,Carla must state her acceptance of the deed.,The grantor's signature must be acknowledged.,The title company must issue a standard policy that validates the deed.,C,Transfer of Property,Deeds,The grantor's signature must be acknowledged before the deed can be recorded in the county records.
examreview_103462980,37,"Which of these would most likely be found in the ""potentially negative items"" section of a credit report?",A current car loan,A student loan that has been paid off,"Credit card with a balance, but no late payments",Lien,D,Financing,General Concepts,"The ""potentially negative items"" section includes items such as past due accounts, bankruptcies, liens, and foreclosures."
examreview_103462980,38,What types of real estate licenses are issued in California?,Broker and salesperson licenses,"Broker, salesperson, and associate broker licenses",Only broker licenses,Only salesperson licenses,B,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,"In California, two types of licenses are issued: broker and salesperson. Some licensees may work in the role of an associate broker, but this person holds a broker license."
examreview_103462980,39,"Max has a dog that bit his neighbor. The neighbor sued Max, which resulted in a judgment against him. Max refused to pay the neighbor according to the judgment. The neighbor placed a lien against Max. How is this lien classified?","Involuntary, general","Involuntary, specific","Voluntary, general","Voluntary, specific",A,Property Ownership and Land Use Controls and Regulations,Encumbrances,"This is an involuntary general lien, since Max didn't agree to it, and it's attached to all of Max's property."
examreview_103462980,40,"Why should you avoid describing a property as ""secluded"" when marketing through a social network?","Everyone defines secluded differently, so it isn't specific enough.",Most homebuyers are interested in being part of a community.,"Property descriptions should focus more on the home, not its surroundings.",Thieves may see this as an opportunity to enter the house unseen.,D,"Practice of Real Estate and Disclosures, Including Specialty Areas",Technology,"""Secluded"" or ""private"" are words that describe a house that thieves may easily enter without being seen."
examreview_103462980,41,Stan is a home inspector who's evaluating a home for potential buyers. He pointed out that neither of the two bathrooms had vent fans installed. Why is this a potential problem that will be noted on the inspection report?,Bathroom fans can mitigate lead paint particles.,Bathroom fans vent radon to the exterior of the home.,The lack of air circulation in a moist room can lead to mold growth.,Unseemly smells located that close to the kitchen are a problem.,C,Property Ownership and Land Use Controls and Regulations,Environmental Hazards and Regulations,Moisture breeds mold. Keeping the area dry and the air circulating can help prevent mold.
examreview_103462980,42,What does MLS stand for?,Market listing service,Maximum listing service,Membership listing service,Multiple listing service,D,"Practice of Real Estate and Disclosures, Including Specialty Areas",Technology,"The MLS provides multiple brokers the opportunity to list their clients' properties, providing broad exposure."
examreview_103462980,43,"What does ""cash-on-cash return"" mean?",A comparison of before-tax cash flow to cash invested,Making money hand over fist,Net income after taxes are deducted,Trading international currency,A,Property Valuation and Financial Analysis,Financial Analysis,Cash-on-cash return is a ratio or percentage. It compares before-tax cash flow to cash invested.
examreview_103462980,44,With what type of loan do the principal and interest payments remain the same for the life of the loan?,Balloon payment,Fixed-rate,Graduated mortgage,Pledged-account,B,Financing,Types of Loans,"With a fixed-rate loan, the principal and interest remain the same over the life of the loan. Taxes and insurance may fluctuate."
examreview_103462980,45,You work for XYZ Realty under the supervision of broker Luke. Your buddy in the next county gave you a referral fee. The check came to your office in your name. You deposit it. Is this okay?,"No, because agents can only be paid directly if they're paid in cash.","No, because all compensation must come through your broker.","Yes, if the check is endorsed by your broker, as well.","Yes, provided your broker knows about the check.",A,Laws of Agency and Fiduciary Duties,Commission and Fees,Licensees must be paid only through their brokers.
examreview_103462980,46,Who would inherit the property in a family with legally adopted children if both parents died without a will?,The illegitimate children,The IRS,The legally adopted children,The state,C,Property Ownership and Land Use Controls and Regulations,Government Rights in Land,"Because legally adopted children are considered heirs to their parents, they would inherit the property."
examreview_103462980,47,Which of the following rental properties may be subject to local rent control ordinances?,Condo,Multi-unit building,New construction,Single-family home,B,"Practice of Real Estate and Disclosures, Including Specialty Areas",Property Management,Some properties are exempt from local rent control ordinances.
examreview_103462980,48,Matteo is looking over his records to prepare for an audit. He starts to panic when he finds that he's done something that will likely cause him to be cited. What did he find?,He didn't use DRE accounting forms.,He neglected to keep cancelled checks.,He's kept receipts for earnest money deposits signed by the buyers.,He's reconciled his accounts each month.,B,"Practice of Real Estate and Disclosures, Including Specialty Areas",Trust Account Management,Failing to keep a copy of all cancelled checks for the three years is a reason a broker may be cited.
examreview_103462980,49,What is the most profitable use of a property?,Anticipation,Contribution,Highest and best use,Progression,C,Property Valuation and Financial Analysis,Value,"Highest and best use has to do with a property's most profitable use that is both legal (in other words, conforms to zoning) and economically feasible (won't cost more than the increase in value)."
examreview_103462980,50,Which of these statements is NOT true about a specific lien?,It may allow the creditor to sell the property through a court sale (foreclosure) and be repaid from the proceeds of the sale.,It prevents the debtor from transferring the property until the debt has been repaid.,It's a lien against a single property rather than a person.,It's always involuntary.,D,Property Ownership and Land Use Controls and Regulations,Encumbrances,A specific lien may be voluntary or involuntary.
examreview_103462980,51,What is it called when one party to a contract transfers the contractual rights and obligations to another but remains liable for the contract terms?,Assignment,Execution,Novation,Termination,A,Contracts,General,"Parties to a contract can assign their rights and obligations under the contract to a new party. This technique is most often used by wholesalers, and is generally allowable only if specifically agreed to in the contract."
examreview_103462980,52,What part of an agreement are the promises that each party makes?,Consideration,Flaw,Legal competency,Undue influence,A,Contracts,General,Consideration is the giving of something of value in exchange for something of value.
examreview_103462980,53,Which of these actions are exempt from California's Fair Employment and Housing Act?,"A man posts a classified ad stating he is looking for a male roommate to share his two-bedroom, one-bath apartment.",An apartment manager assigns minorities to one building.,"An apartment manager refuses to allow an assistance animal in a building with a ""no pets"" policy.","A woman advertises her single-family residence for lease, and says, ""No minorities",A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Fair Housing Laws,"allowed."" It is legal under the FEHA to post an ad for a roommate of a specific sex."
examreview_103462980,54,"You make a listing presentation to a client, then learn she's meeting with a few more licensees before deciding which licensee gets her listing. You know these competitors. Which action best demonstrates good faith?",You contact the other licensees to try to convince them not to work with the seller.,You tell the seller all of the dirt you have on the other licensees.,You tell the seller you hope she'll decide to work with you.,You walk away from the listing.,C,"Practice of Real Estate and Disclosures, Including Specialty Areas",General Ethics,"Good faith is hoping the seller chooses to work with you, but you shouldn't share personal information you know about other licensees or try to convince others not to work with the sellers. Play fair!"
examreview_103462980,55,Which one of the following best describes the state of the market during the recovery phase of the real estate cycle?,High but stabilized unemployment and a high number of foreclosures,"Increases in hiring, employment, and public confidence, and lots of buyers in the market","Properties selling for more than they're worth, many buyers in the market, and lots of new construction","Unemployment increasing, prices falling, and foreclosures on the rise",A,Property Valuation and Financial Analysis,Value,"During the recovery phase, we've passed our low point and unemployment rates and foreclosures begin to level off before improving."
examreview_103462980,56,"Jenny is selling her property and has hired Larry as her agent. After the property's listed, Jane brings her client, Andrew, to see the property, and he decides to make an offer. Who is Jane in this scenario?",A buyer's agent,A dual agent,A seller's agent,A sub-agent,A,Laws of Agency and Fiduciary Duties,"Law, Definition and Nature of Agency Relationships, Types of Agencies, and Agents","Jane represents Andrew, the buyer, which makes her the buyer's agent."
examreview_103462980,57,Amy is explaining the broker and seller's duties section of a listing agreement to a new client. Which of these would be an accurate statement to make?,The extent of the broker's duties depends on the type of listing agreement.,The seller agrees to set a list price that's within the range recommended by the broker.,The seller and broker will take turns showing the property to potential buyers.,The seller and the broker agree to exercise reasonable effort and cooperation in the sale of the property. ,D,Contracts,Listing Agreements,This section is where the seller and the broker agree to exercise reasonable effort and cooperation in the sale of the property. It also stipulates that the seller is responsible for setting the list price.
examreview_103462980,58,"Danny and Wendy recently relocated to California. They are buying a three-bedroom home in an established neighborhood where they look forward to raising a family. Their real estate agent, Brunhilda, thinks that their income, which is on the low side, and the property could make them eligible for ______, which would offer reduced, fixed interest rates on a loan.",A CalHFA loan product,California Direct Loan Program financing,California Mortgage Assistance,Seller financing,A,Financing,Government Programs,The California Housing Finance Agency finances mortgage loans to low- and moderate-income homebuyers.
examreview_103462980,59,The _____ is the name of California's antitrust law.,Cartwright Act,Clayton Act,Federal Trade Commission Act,Sherman Act,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,"California's antitrust law is called the Cartwright Act. It closely follows the Sherman Act, but more clearly defines actions that are unlawful."
examreview_103462980,60,The Acme Company is planning to build a factory on the three-acre property it just purchased in Southern California. The factory will need access to a large amount of water. How will the company gain the right to the water it needs?,It must apply for a water permit from the California State Water Resources Control Board.,It must negotiate a deal with a property owner with previous water rights under the doctrine of prior appropriation.,It must purchase water rights from a current property owner with riparian rights.,It must use reclaimed water from the local water treatment plant.,A,Property Ownership and Land Use Controls and Regulations,Water Rights,The California State Water Resources Control Board reviews permit applications for the right to use water and will only issue the permit if the environmental impact and impact on current water users is acceptable.
examreview_103462980,61,Brenda is a real estate salesperson. Jim is her sponsoring broker. Brenda is moving to a different area in the state and will no longer be able to work with Jim. Her new sponsoring broker will be Cindy. What must take place for Brenda to transfer her license to Cindy?,Brenda completes a change application.,Brenda must complete a new license application.,Cindy completes a new license application for Brenda.,Jim must notify the California DRE and give Brenda her license certificate. Brenda and Cindy complete a change application.,D,"Practice of Real Estate and Disclosures, Including Specialty Areas",Licensing and Continuing Education Requirements and Procedures,"All parties (existing broker, salesperson, and new broker) have to take action for the transfer to occur."
examreview_103462980,62,"Leo's client is looking for a property with at least 2,500 finished square feet. Leo finds a 2,200-square- foot property with all the other features the client is looking for, and purposely doesn't mention the square footage to his client. His client agrees to look at the property, falls in love with it, and wants to make an offer, but does not realize it doesn't contain his desired square footage. Which of these statements accurately represents Leo's level of misrepresentation in this situation?","Because Leo didn't state the square footage, he's not guilty of misrepresentation.","It's the buyer's responsibility to ensure that the property has the proper square footage, so Leo's in the clear.",Leo accidentally omitted a material fact. This is considered unintentional misrepresentation.,Leo knew about the square footage and intentionally didn't mention it. He's guilty of intentional misrepresentation. ,D,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,"Leo knew the square footage was short, and he intentionally didn't mention it to the buyer. Therefore, he's guilty of intentional misrepresentation."
examreview_103462980,63,"Kennedy lists Heather's home. He noticed evidence of termites, and asked Heather about it. She said a pest control company solved the problem. What can Kennedy do to reduce the risk of misrepresentation?",Ask for the pest control company report from Heather.,Defer questions to Heather.,List it the property as free of pests.,She has done everything she needs to do.,A,"Practice of Real Estate and Disclosures, Including Specialty Areas",General Ethics,"It's always good to back up seller disclosure statements with hard evidence. It may have been many years since any mitigation was done, which could mean the bugs are back."
examreview_103462980,64,The seller disclosure indicates that the central air conditioning unit is 26 years old. Why might this worry Margot's buyers?,Central air conditioning isn't a sustainable technology.,Older units are bigger and more unsightly.,The unit may need to be replaced.,They were hoping for window air conditioning.,C,"Practice of Real Estate and Disclosures, Including Specialty Areas",Disclosure of Material Facts Affecting Property Value,"All major systems have natural lifetimes-they don't last forever. At 26 years old, the air conditioning system will likely need to be replaced soon, adding an extra expense for the buyers."
examreview_103462980,65,"What is meant by ""usable"" square footage?",The area occupied by the tenant,The building area that's used by the greatest number of people,The carpetable area,"The tenant's area plus halls, bathrooms and other common areas",A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Commercial/Industrial/Income Properties,"Usable square footage is the area occupied by the tenant. Rentable square footage includes the area occupied by the tenant plus the tenant's share of the foyer, hallways, etc."
examreview_103462980,66,"Virginia is finally living her dream-she bought a coffeehouse in a charming college town. After she closed on it, her attorney sat down with her to discuss various business licensing and legal requirements she'll have to meet. Virginia was surprised to learn that her five-table establishment is affected by the Americans with Disabilities Act. What must be true about the coffeehouse?",It includes at least 400 square feet of public space.,It's a commercial enterprise that's open to the public.,It sits in a city center.,It was built after 1978.,B,"Practice of Real Estate and Disclosures, Including Specialty Areas",Commercial/Industrial/Income Properties,"If a business in a constructed building serves the public, then it falls under the ADA."
examreview_103462980,67,"Aside from your name, what else must be included on every page of your website, according to the DRE's rules?",City and state where the brokerage is located and jurisdiction,License number and responsible broker's identity,Personal contact number,Personal photo,B,"Practice of Real Estate and Disclosures, Including Specialty Areas",Truth in Advertising,DRE requires that your license number and broker's identity be on your website.
examreview_103462980,68,"When real estate licensee Brian discovered that real estate licensee Arnold was using a ""Choose Your Neighbor"" letter to market a property without also listing the property in the MLS, in the local paper, or even putting a for sale sign in the yard, what charge could he bring against Arnold to the National Association of REALTORS®?",A charge of agreeing to discriminate by limiting access to the property,A charge of misrepresenting the property for sale,A charge of not fulfilling his fiduciary duties to his client by not conducting a complete marketing plan,"A charge of unfair practice because his mother did not get one of the ""Choose Your",A,"Practice of Real Estate and Disclosures, Including Specialty Areas",Servicing Diverse Populations,"Neighbor"" letters REALTOR® Brian could charge Arnold with violating Article 10 of the Code of Ethics, which prohibits REALTORS® from agreeing to discriminate against people belonging to a protected class."
examreview_103462980,69,"______ is the principle that the more similar properties are on the market, the lower the price.",Competition,Conformity,Contribution,Plottage,A,Property Valuation and Financial Analysis,Value,"If the competition is high, and there are many similar properties on the market, prices are likely to be driven down."
examreview_103462980,70,Advance fee agreements in California need to be approved by which regulatory body?,Department of Finance,Department of Real Estate,Managing Brokers,Office of Real Estate Appraisers,B,Contracts,Advance Fee,"The Department of Real Estate approves advance fee agreements, which cannot be used for loan modification services."
examreview_103462980,71,"A buyer looked at the legal description of the property they were interested in purchasing. They read the following: ""Beginning at the corner of State Route 61 and Hallowell Road, north for 314 feet, then southwest for 193 feet."" In this description, what does ""north for 314 feet"" represent?",A benchmark,A bound,A mete,A monument,C,Property Ownership and Land Use Controls and Regulations,Descriptions of Property,Metes (measures) are the direction and distance of a line forming the boundary of the property.
examreview_103462980,72,California real estate licensee Carmen has an MLO endorsement on her license. Which of these actions is she required to take?,"Include her MLO unique identification number on any ""for sale"" signs she puts up.",Include her MLO unique identification number on her business cards.,Offer competitive terms on any loans she negotiates for her clients.,Renew her endorsement biennially.,A,Financing,Loan Brokerage,"Carmen will renew her endorsement annually. The law requires her to include her unique identifier on her business cards, but not on for sale signs."
examreview_103462980,73,"Ruby just bought a few undeveloped acres in the California desert. Once she installs her manufactured home, she plans to obtain water for herself and her animals by digging a well to access the ______.",Appropriated water,Percolating ground water,Public water source,Riparian water,B,Property Ownership and Land Use Controls and Regulations,Water Rights,"Water that lies beneath the surface of a property is known as ground water or percolating ground water, and it's a property owner's right to access it in California. Ruby will likely need a permit to dig her well."
examreview_103462980,74,"As a property manager for several residential landlords, Tomas must provide critical reports to each of the property owners for whom he works. Which of the following information points needs to be updated and issued monthly?",Fair market value of each property,Income and expenses for each property,Number of vacation days taken by property employees,The number of days a tenant is late when paying rent,B,"Practice of Real Estate and Disclosures, Including Specialty Areas",Property Management,Property managers are expected to provide income and expense reports to owners on a monthly basis.
examreview_103462980,75,"Tina is purchasing a home that appraised for $10,000 more than the sales price. On which figure will the lender base the loan-to-value ratio?",It will be based on a combination of the sales price and appraised price.,It will be based on the appraised price.,It will be based on the sales price.,It will depend on how much Tina is putting down.,C,Financing,General Concepts,Lenders use the lesser of the sales price or appraised value to determine LTV ratio. The amount Tina puts down won't affect which of these figures the lender uses.
examreview_103462980,76,"The Residential Lead-Based Paint Hazard Reduction Act requires sellers, landlords, and their agents to ______ any known lead hazards in the home.",Assess the degree of,Disclose,Negotiate fees for removal of,Remove,B,Property Ownership and Land Use Controls and Regulations,Environmental Hazards and Regulations,"This act requires sellers, landlords, and agents to disclose any known lead hazards in the home. It also requires them to provide a lead safety pamphlet to prospective buyers and provide any records they have of lead assessments or testing."
